question_id,norm_entropy,difficulty,calibration_error,answer_correct,score,raw_response
gpqa_084,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_087,0.6595,0.625,0.0345,False,0.7724,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_088,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_090,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_094,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_097,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_098,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_099,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 10, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_100,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_101,0.6595,0.625,0.0345,False,0.7724,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_102,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_103,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_104,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_106,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_110,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_113,0.6595,0.625,0.0345,False,0.7724,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_114,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_116,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_117,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_118,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_119,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_125,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 15, ""B"": 10, ""C"": 70, ""D"": 5, ""most_likely"": ""C""}
```"
gpqa_127,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_129,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_131,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_134,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_135,0.511,0.875,0.364,True,0.7088,"```json
{""A"": 5, ""B"": 5, ""C"": 10, ""D"": 80, ""most_likely"": ""D""}
```"
gpqa_137,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_146,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_148,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 10, ""B"": 5, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_149,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_156,0.6595,0.875,0.2155,True,0.8276,"```json
{""A"": 10, ""B"": 5, ""C"": 15, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_157,0.6595,0.7778,0.1183,True,0.9054,"```json
{""A"": 15, ""B"": 10, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_164,0.6595,0.6667,0.0072,False,0.7943,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_165,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 15, ""B"": 10, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_168,0.6595,0.75,0.0905,False,0.7276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_169,0.6595,0.875,0.2155,False,0.6276,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_170,0.6595,0.7778,0.1183,False,0.7054,"```json
{""A"": 15, ""B"": 10, ""C"": 5, ""D"": 70, ""most_likely"": ""D""}
```"
gpqa_173,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_175,0.6595,0.8889,0.2294,True,0.8165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
gpqa_180,0.6595,0.8571,0.1976,False,0.6419,"```json
{""A"": 70, ""B"": 15, ""C"": 10, ""D"": 5, ""most_likely"": ""A""}
```"
gpqa_184,0.511,0.7778,0.2668,True,0.7865,"```json
{""A"": 5, ""B"": 5, ""C"": 10, ""D"": 80, ""most_likely"": ""D""}
```"
gpqa_188,0.6595,0.8889,0.2294,False,0.6165,"```json
{""A"": 15, ""B"": 70, ""C"": 10, ""D"": 5, ""most_likely"": ""B""}
```"
